moneyness,iv,option_type,maturity_bucket
2.2781818181818183,2.692898546938323,call,medium
2.212727272727273,2.904079169557429,call,medium
2.149090909090909,1.9337444748250376,call,medium
2.170909090909091,1.7164901429410084,call,medium
2.227272727272727,2.2047821304282884,call,medium
2.3181818181818183,2.057381852081304,call,medium
2.369090909090909,2.338620074387021,call,medium
2.4518181818181817,1.155378412252147,call,medium
2.5272727272727273,2.181406880655745,call,medium
2.4754545454545456,2.080147883557513,call,medium
2.438181818181818,1.86441650189346,call,medium
2.399090909090909,2.290373138852649,call,medium
2.330909090909091,2.2459433451295117,call,medium
2.2636363636363637,1.6895674735910053,call,medium
2.2009090909090907,0.9891405946208147,call,medium
2.268181818181818,1.6829522078140808,call,medium
2.2545454545454544,1.5929842458014267,call,medium
2.0283333333333333,3.0007216087369475,call,medium
1.99,1.6022627182177498,call,medium
2.2691666666666666,1.4940196377912984,call,medium
2.235,1.7728481126159505,call,medium
2.1991666666666667,1.86443569263727,call,medium
2.1366666666666667,2.820366693699603,call,medium
2.0175,1.6930164056209551,call,medium
2.0791666666666666,1.4861408454601055,call,medium
2.066666666666667,1.5232505778435776,call,medium
1.8723076923076922,2.4731563271577377,call,medium
1.8184615384615384,2.053527585415602,call,medium
1.8369230769230769,1.550094898386047,call,medium
1.8846153846153846,1.8206902237408666,call,medium
2.0046153846153847,1.9885614352802863,call,medium
2.0946153846153845,1.955308973667605,call,medium
2.063076923076923,1.485112067015835,call,medium
2.03,1.7221812686836735,call,medium
1.9723076923076923,2.075859871072973,call,medium
1.9153846153846155,2.095757934863259,call,medium
1.8623076923076922,1.4253172496908322,call,medium
1.9146153846153846,1.8391116069631703,call,medium
1.9192307692307693,1.3577511209382491,call,medium
1.9076923076923078,1.430541880644843,call,medium
1.893846153846154,1.5501007056637743,call,medium
1.7385714285714287,2.469655417702566,call,medium
1.6885714285714286,2.214656012192162,call,medium
1.9264285714285714,1.1488841946364974,call,medium
1.945,1.4179395049308148,call,medium
1.9157142857142857,1.4773817102153814,call,medium
1.8314285714285714,2.19623423261954,call,medium
1.7785714285714285,1.8249525939625537,call,medium
1.7292857142857143,1.413057779899046,call,medium
1.7778571428571428,1.4322198857921793,call,medium
1.7714285714285714,1.3391840954325325,call,medium
1.6226666666666667,2.048126471822493,call,medium
1.592,0.6755488922604789,call,medium
1.8153333333333332,1.3766061582337048,call,medium
1.788,1.6750438745311993,call,medium
1.52125,2.1456475608058723,call,medium
1.4775,1.4947936051347288,call,medium
1.53125,1.8805510366494693,call,medium
1.62875,1.7175414936851376,call,medium
1.654375,2.245861257662575,call,medium
1.7375,1.6035222074132918,call,medium
1.701875,1.1544797642449858,call,medium
1.67625,1.4809198453678967,call,medium
1.649375,1.3682494000057286,call,medium
1.6025,1.5583315585954034,call,medium
1.55625,1.646193810172536,call,medium
1.513125,1.2543522784568162,call,medium
1.555625,1.2051629752636954,call,medium
1.559375,1.0915678382842249,call,medium
1.55,1.1580320577969223,call,medium
1.53875,1.2421510673055098,call,medium
1.3783333333333334,0.9537049180627615,call,medium
1.3922222222222222,1.0350817057480524,call,medium
1.3522222222222222,1.7086659592905422,call,medium
1.3133333333333332,1.2217372135677436,call,medium
1.3266666666666667,1.016881798793815,call,medium
1.3611111111111112,1.1482618197705392,call,medium
1.3744444444444444,0.9571983110666528,call,medium
1.4166666666666667,1.08588069557312,call,medium
1.4477777777777778,1.292234637079707,call,medium
1.4705555555555556,1.1714341115015747,call,medium
1.5444444444444445,1.3387269514503461,call,medium
1.5127777777777778,1.185103453599031,call,medium
1.49,1.236748348903406,call,medium
1.4661111111111111,1.2606741970382187,call,medium
1.4244444444444444,1.718992372572448,call,medium
1.3833333333333333,1.252299044575145,call,medium
1.345,1.048986162355745,call,medium
1.3827777777777779,0.9248958206343465,call,medium
1.386111111111111,1.0069037657800801,call,medium
1.3777777777777778,0.9887669456775946,call,medium
1.3677777777777778,1.0507760999373206,call,medium
1.2405,0.7369384161086462,call,medium
1.253,1.0203548504248847,call,medium
1.217,1.448963405967336,call,medium
1.182,0.9260326443009256,call,medium
1.194,0.6898546769459686,call,medium
1.225,0.9584550174925235,call,medium
1.237,0.9018150398673286,call,medium
1.275,0.8849364677034088,call,medium
1.303,1.1663263000891675,call,medium
1.3235,1.1119661572943997,call,medium
1.3485,0.717011193729808,call,medium
1.39,1.1559558836094035,call,medium
1.3615,1.0843224557983608,call,medium
1.341,1.1374597949302885,call,medium
1.3195,1.1870663334039604,call,medium
