days_to_expiry,option_type,mean_iv,n
1,call,2.117305537017021,93
1,put,2.5481829452991396,121
2,call,1.9061471533841259,86
2,put,1.96768426765371,97
3,call,1.7492799245620032,79
3,put,1.6956517759350742,89
4,call,1.3722603930136614,78
4,put,1.4159346031232989,96
7,call,1.389784484594524,76
7,put,1.341918426680001,83
8,call,1.3992365120093695,98
8,put,1.3206074302677362,94
9,call,1.369242554310733,99
9,put,1.1745825125104559,98
10,call,1.2489170667721903,92
10,put,1.0113231609120137,86
11,call,1.305459777531649,91
11,put,0.91803211936015,72
14,call,1.0865843769706716,86
14,put,1.0769615444129343,69
15,call,0.9579689229761807,87
15,put,1.0410719847269272,84
16,call,0.9584564781105925,86
16,put,0.987945678766907,72
17,call,1.117778063210409,110
17,put,0.9241288478292021,79
18,call,1.1987375962123792,110
18,put,0.9561290479959094,90
19,call,0.6555223507967644,9
19,put,0.23244654512604762,4
20,call,0.4645478804644101,6
20,put,0.35936241417731124,6
21,call,1.1286365636688305,110
21,put,0.8060291971494558,77
22,call,1.09380280122632,112
22,put,0.8929629130987777,84
23,call,1.146056433580587,83
23,put,1.0344628712351238,71
24,call,1.2380911840278472,84
24,put,0.814979634619114,65
25,call,1.0974275552335266,95
25,put,0.8146929726951225,69
26,call,0.6625628465548358,11
26,put,0.2915318070297327,5
27,call,0.6523423705711594,11
27,put,0.3184057609509194,4
28,call,1.0067384782412412,112
28,put,0.6973626678706257,71
29,call,0.963393318545751,117
29,put,0.8150302274497465,89
30,call,0.9703353029419352,97
30,put,0.7261735368396374,69
31,call,1.0832459806837915,100
31,put,0.8109454869415553,76
32,call,1.0730888318715281,104
32,put,0.7686226998305199,67
33,call,0.6279792796364495,10
33,put,0.3392785306011514,4
34,call,0.5474155460173249,7
34,put,0.3361349655799058,4
35,call,0.981095292704746,118
35,put,0.7105197605300153,87
36,call,0.9883569731467914,127
36,put,0.728825154496988,86
37,call,1.1994015352973797,129
37,put,0.71440311920954,89
38,call,1.1464203858449324,126
38,put,0.6603112737954976,83
39,call,1.0382070631393645,128
39,put,0.6571320042614254,92
40,call,0.6546729613414098,8
40,put,0.3978119672556752,5
41,call,0.7798027894994157,10
41,put,0.49851190882055674,6
42,call,1.0606368737121248,114
42,put,0.6471416796503288,79
43,call,1.1312498445619332,137
43,put,0.6442349678620264,98
44,call,1.0300169430266186,129
44,put,0.6528311336512301,88
45,call,1.0643542002290316,121
45,put,0.6373239880359113,80
46,call,0.9874747492547784,119
46,put,0.6087929322548183,73
47,call,1.0444184630522584,11
47,put,0.503800711064318,7
48,call,1.2318593383592866,11
48,put,0.3864787005717668,5
49,call,1.027783492109919,132
