shadow_S,shadow_gap
28184.0,-346.0
27827.0,-273.0
26690.0,-50.0
24732.0,-518.0
25861.0,111.0
26042.0,712.0
24900.0,90.0
26052.0,1712.0
24249.0,609.0
25026.0,526.0
26017.0,517.0
26338.0,1438.0
28292.0,-238.0
27834.0,-266.0
28664.0,304.0
28620.0,1080.0
26766.0,26.0
26109.0,119.0
26687.0,1427.0
24481.0,-49.0
24877.0,-373.0
25980.0,230.0
26076.0,746.0
24900.0,170.0
24986.0,116.0
25051.0,261.0
23553.0,-517.0
25148.0,338.0
25866.0,806.0
26259.0,1919.0
24599.0,959.0
24305.0,425.0
25426.0,926.0
25495.0,755.0
26108.0,608.0
27252.0,1192.0
27443.0,973.0
27135.0,165.0
28627.0,827.0
28105.0,875.0
27683.0,863.0
27919.0,1529.0
27431.0,1791.0
26298.0,1398.0
28297.0,-233.0
27852.0,-248.0
28549.0,189.0
28523.0,983.0
26688.0,-52.0
26043.0,53.0
26649.0,1389.0
24464.0,-66.0
25015.0,-235.0
25905.0,155.0
26077.0,747.0
25099.0,369.0
25037.0,167.0
24906.0,116.0
23442.0,-628.0
25128.0,318.0
25956.0,896.0
26303.0,1963.0
24742.0,1102.0
24354.0,474.0
25410.0,910.0
25579.0,839.0
26234.0,734.0
27211.0,1151.0
27561.0,1091.0
27221.0,251.0
28885.0,1085.0
28301.0,1071.0
28040.0,1220.0
28002.0,1612.0
27626.0,1986.0
26524.0,1624.0
25701.0,1491.0
28335.0,-195.0
27829.0,-271.0
28581.0,221.0
28563.0,1023.0
26680.0,-60.0
26079.0,89.0
26554.0,1294.0
24361.0,-169.0
24940.0,-310.0
25900.0,150.0
26018.0,688.0
24764.0,34.0
25033.0,163.0
25096.0,306.0
23451.0,-619.0
25194.0,384.0
25863.0,803.0
26258.0,1918.0
24781.0,1141.0
24392.0,512.0
25461.0,961.0
25621.0,881.0
26308.0,808.0
27365.0,1305.0
27735.0,1265.0
27274.0,304.0
28877.0,1077.0
28250.0,1020.0
28056.0,1236.0
28069.0,1679.0
27549.0,1909.0
26638.0,1738.0
25944.0,1734.0
26007.0,1057.0
27103.0,1233.0
28258.0,-272.0
27969.0,-131.0
28633.0,273.0
28544.0,1004.0
26578.0,-162.0
26150.0,160.0
26614.0,1354.0
24453.0,-77.0
25119.0,-131.0
25826.0,76.0
26137.0,807.0
25170.0,440.0
25120.0,250.0
25275.0,485.0
23501.0,-569.0
25084.0,274.0
25722.0,662.0
26279.0,1939.0
24862.0,1222.0
24544.0,664.0
25523.0,1023.0
25593.0,853.0
26382.0,882.0
27475.0,1415.0
27843.0,1373.0
27281.0,311.0
28952.0,1152.0
28283.0,1053.0
28034.0,1214.0
27963.0,1573.0
27503.0,1863.0
26583.0,1683.0
25625.0,1415.0
26280.0,1390.0
26305.0,1355.0
26364.0,1564.0
26417.0,1797.0
25910.0,530.0
27172.0,1012.0
28352.0,-178.0
27971.0,-129.0
28626.0,266.0
28690.0,1150.0
26645.0,-95.0
26219.0,229.0
26645.0,1385.0
24221.0,-309.0
25113.0,-137.0
25865.0,115.0
26065.0,735.0
24953.0,223.0
24891.0,21.0
25383.0,593.0
23792.0,-278.0
25106.0,296.0
25994.0,934.0
26207.0,1867.0
24970.0,1330.0
24370.0,490.0
25397.0,897.0
25245.0,505.0
25933.0,433.0
27509.0,1449.0
27803.0,1333.0
27043.0,73.0
28888.0,1088.0
27935.0,705.0
27945.0,1125.0
27877.0,1487.0
27496.0,1856.0
26654.0,1754.0
25982.0,1092.0
28492.0,-38.0
28030.0,-70.0
28647.0,287.0
28721.0,1181.0
26652.0,-88.0
26637.0,647.0
26740.0,1480.0
25019.0,-231.0
25464.0,654.0
26009.0,949.0
26173.0,1833.0
23962.0,82.0
24756.0,256.0
24888.0,148.0
25291.0,-209.0
27274.0,1214.0
26866.0,396.0
27571.0,601.0
27598.0,1208.0
27423.0,1783.0
25977.0,1767.0
25996.0,1106.0
27551.0,2601.0
29012.0,1472.0
27509.0,769.0
