tau_bucket,regime,median_depth_bid,mean_depth_bid,median_depth_ask,mean_depth_ask,median_OBI,mean_OBI,n_snaps
0-1min,buy_queue,110.0,636.21968787515,0.0,0.0,1.0,1.0,833
0-1min,sell_queue,0.0,0.0,4387.0,11052.737777777778,-1.0,-1.0,450
1-5min,buy_queue,133.0,666.0458452722063,0.0,0.0,1.0,1.0,349
1-5min,sell_queue,0.0,0.0,4600.0,12804.122807017544,-1.0,-1.0,513
15-30min,buy_queue,117.0,920.787072243346,0.0,0.0,1.0,1.0,526
15-30min,sell_queue,0.0,0.0,3050.0,12237.395555555555,-1.0,-1.0,225
30-100000min,buy_queue,157.0,1138.5914050322867,0.0,0.0,1.0,1.0,4491
30-100000min,sell_queue,0.0,0.0,3758.0,6846.905349794239,-1.0,-1.0,243
5-15min,buy_queue,110.0,594.8949343339588,0.0,0.0,1.0,1.0,533
5-15min,sell_queue,0.0,0.0,3868.5,11311.743243243243,-1.0,-1.0,518
