tau_bucket,regime,mean_spread,median_spread,mean_rel_spread,median_rel_spread,mean_OBI,median_OBI,mean_depth_bid,median_depth_bid,mean_depth_ask,median_depth_ask,n_snaps
0-1min,buy_queue,,,,,1.0,1.0,629.2117647058824,110.0,0.0,0.0,850
0-1min,sell_queue,,,,,-1.0,-1.0,0.0,0.0,10979.596026490066,4310.0,453
1-5min,buy_queue,,,,,1.0,1.0,615.2295514511874,121.0,0.0,0.0,379
1-5min,sell_queue,,,,,-1.0,-1.0,0.0,0.0,12568.609942638623,4457.0,523
15-30min,buy_queue,,,,,1.0,1.0,932.3505747126437,113.5,0.0,0.0,522
15-30min,sell_queue,,,,,-1.0,-1.0,0.0,0.0,11131.72177419355,2446.0,248
30-100000min,buy_queue,,,,,1.0,1.0,1131.1010591350398,155.0,0.0,0.0,4532
30-100000min,sell_queue,,,,,-1.0,-1.0,0.0,0.0,6639.94422310757,3273.0,251
5-15min,buy_queue,,,,,1.0,1.0,556.0867346938776,109.0,0.0,0.0,588
5-15min,sell_queue,,,,,-1.0,-1.0,0.0,0.0,11144.429657794677,3612.0,526
