tau_bucket,regime,median_updates,mean_updates,n
0-1min,buy_queue,5.0,137.8607442977191,833
0-1min,sell_queue,667.0,1224.9555555555555,450
1-5min,buy_queue,65.0,161.22349570200572,349
1-5min,sell_queue,667.0,995.2222222222222,513
15-30min,buy_queue,53.0,98.17680608365019,526
15-30min,sell_queue,667.0,551.4266666666666,225
30-100000min,buy_queue,10.0,34.800712536183475,4491
30-100000min,sell_queue,466.0,464.7283950617284,243
5-15min,buy_queue,45.0,92.11819887429644,533
5-15min,sell_queue,823.0,692.8687258687258,518
