moneyness_bucket,maturity_bucket,n,mean_basis,median_basis,std_basis
atm,long,359,-799.897215086987,-656.0768493907308,1953.8402889217127
atm,medium,278,-76.700671769871,-255.37564395266054,1326.8690569654875
atm,short,264,-184.9124811255004,-166.43375001041295,1235.4805174030694
deep_itm,long,951,-967.9926262962334,-735.226795489365,1755.2073430199648
deep_itm,medium,842,148.9169839370615,-132.9952799914672,1427.7685525101879
deep_itm,short,1039,-424.2036882504397,-240.65415183711593,1535.3349334012357
deep_otm,long,530,-1882.5864313844343,-1519.786937464407,2430.063567136009
deep_otm,medium,441,-370.83986185059536,-499.5286265663344,1393.4776887741086
deep_otm,short,563,-99.76931979815686,-110.91987014370534,1789.9836459673998
itm,long,412,-913.5634465621569,-672.079764443426,1752.4772732318581
itm,medium,285,-72.11458273696947,-169.2825507179332,1294.8214180620769
itm,short,296,-272.98005311860413,-232.95282680575292,1143.4815582017707
otm,long,254,-932.673652685768,-801.3185388251368,1900.4059484508623
otm,medium,222,-176.92260279101927,-322.56835777549713,1398.2160956739176
otm,short,236,-108.50634175447084,-49.74725192484584,1277.4641801735668
