moneyness_bucket,maturity_bucket,option_type,n,mean_err,median_err,std_err
atm,long,call,596,854.4294657531327,663.3292742745962,1524.945594266057
atm,long,put,308,1393.226950607945,1191.9404017522993,1036.946079395179
atm,medium,call,282,967.9807292673041,628.8260332798891,1311.2678890783754
atm,medium,put,278,1077.6667052711973,866.6086620747146,743.913613417518
atm,short,call,237,444.47315003289185,232.83191684276062,850.2629352602955
atm,short,put,234,569.9245302269954,379.77879922409966,842.5538959755966
deep_itm,long,call,3136,7.108936136927434,53.95655138124948,1383.605303429946
deep_itm,long,put,707,545.2266874118834,382.1669675014556,550.9539035232308
deep_itm,medium,call,1304,302.86473083922886,32.83150811841824,1373.5050583378584
deep_itm,medium,put,926,265.68484632244355,158.08807292020344,319.4166564056491
deep_itm,short,call,1226,-255.0875658347808,-163.3465462145832,1377.2098410072676
deep_itm,short,put,1033,67.79580804124278,26.999999998557726,130.29482781587924
deep_otm,long,call,1441,835.1019334036429,540.7279088706,1032.0559137206267
deep_otm,long,put,334,2401.565650856092,2038.9970126915996,1967.9438643202277
deep_otm,medium,call,744,357.5868405928126,149.24901505670152,653.4789752865112
deep_otm,medium,put,400,870.4860823503534,850.6137504431335,1073.6766712596304
deep_otm,short,call,780,76.16550690159458,22.2389438245241,186.45183799856645
deep_otm,short,put,449,210.71616032226183,207.70903192550395,1917.8027899216527
itm,long,call,558,542.18110398818,379.4635240876105,1432.2132842881408
itm,long,put,257,1066.3763183744518,892.0035456298265,861.1645577736291
itm,medium,call,239,709.2546928825271,357.7517746047597,1353.6432529806218
itm,medium,put,234,744.1935750141809,514.0633112581359,638.3031016589816
itm,short,call,225,170.33105163622278,4.754976927582902,1037.0432507210076
itm,short,put,225,337.8821062226352,178.80223580540473,479.5612894660921
otm,long,call,608,1003.5779601378241,759.5687601841164,1369.5571076792955
otm,long,put,225,1805.520466186298,1514.5796349563716,1326.6010222255998
otm,medium,call,279,961.0480412973267,607.790909683139,1164.1609677338104
otm,medium,put,260,1146.9204065744218,986.7110174771997,944.0124283740032
otm,short,call,250,374.02973726753623,158.2501952752541,601.267405847627
otm,short,put,237,455.63304222306283,244.91858827937904,1071.338047471665
