date_str,shadow_S,shadow_gap
20250416,28184.0,-346.0
20250415,27827.0,-273.0
20250412,26690.0,-50.0
20250406,24732.0,-518.0
20250405,25861.0,111.0
20250330,26042.0,712.0
20250317,24900.0,90.0
20250315,26052.0,1712.0
20250312,24249.0,609.0
20250310,25026.0,526.0
20250308,26017.0,517.0
20250223,26338.0,1438.0
20250416,28292.0,-238.0
20250415,27834.0,-266.0
20250414,28664.0,304.0
20250413,28620.0,1080.0
20250412,26766.0,26.0
20250409,26109.0,119.0
20250408,26687.0,1427.0
20250407,24481.0,-49.0
20250406,24877.0,-373.0
20250405,25980.0,230.0
20250330,26076.0,746.0
20250329,24900.0,170.0
20250326,24986.0,116.0
20250325,25051.0,261.0
20250318,23553.0,-517.0
20250317,25148.0,338.0
20250316,25866.0,806.0
20250315,26259.0,1919.0
20250312,24599.0,959.0
20250311,24305.0,425.0
20250310,25426.0,926.0
20250309,25495.0,755.0
20250308,26108.0,608.0
20250305,27252.0,1192.0
20250304,27443.0,973.0
20250303,27135.0,165.0
20250302,28627.0,827.0
20250301,28105.0,875.0
20250226,27683.0,863.0
20250225,27919.0,1529.0
20250224,27431.0,1791.0
20250223,26298.0,1398.0
20250416,28297.0,-233.0
20250415,27852.0,-248.0
20250414,28549.0,189.0
20250413,28523.0,983.0
20250412,26688.0,-52.0
20250409,26043.0,53.0
20250408,26649.0,1389.0
20250407,24464.0,-66.0
20250406,25015.0,-235.0
20250405,25905.0,155.0
20250330,26077.0,747.0
20250329,25099.0,369.0
20250326,25037.0,167.0
20250325,24906.0,116.0
20250318,23442.0,-628.0
20250317,25128.0,318.0
20250316,25956.0,896.0
20250315,26303.0,1963.0
20250312,24742.0,1102.0
20250311,24354.0,474.0
20250310,25410.0,910.0
20250309,25579.0,839.0
20250308,26234.0,734.0
20250305,27211.0,1151.0
20250304,27561.0,1091.0
20250303,27221.0,251.0
20250302,28885.0,1085.0
20250301,28301.0,1071.0
20250226,28040.0,1220.0
20250225,28002.0,1612.0
20250224,27626.0,1986.0
20250223,26524.0,1624.0
20250222,25701.0,1491.0
20250416,28335.0,-195.0
20250415,27829.0,-271.0
20250414,28581.0,221.0
20250413,28563.0,1023.0
20250412,26680.0,-60.0
20250409,26079.0,89.0
20250408,26554.0,1294.0
20250407,24361.0,-169.0
20250406,24940.0,-310.0
20250405,25900.0,150.0
20250330,26018.0,688.0
20250329,24764.0,34.0
20250326,25033.0,163.0
20250325,25096.0,306.0
20250318,23451.0,-619.0
20250317,25194.0,384.0
20250316,25863.0,803.0
20250315,26258.0,1918.0
20250312,24781.0,1141.0
20250311,24392.0,512.0
20250310,25461.0,961.0
20250309,25621.0,881.0
20250308,26308.0,808.0
20250305,27365.0,1305.0
20250304,27735.0,1265.0
20250303,27274.0,304.0
20250302,28877.0,1077.0
20250301,28250.0,1020.0
20250226,28056.0,1236.0
20250225,28069.0,1679.0
20250224,27549.0,1909.0
20250223,26638.0,1738.0
20250222,25944.0,1734.0
20250218,26007.0,1057.0
20250205,27103.0,1233.0
20250416,28258.0,-272.0
20250415,27969.0,-131.0
20250414,28633.0,273.0
20250413,28544.0,1004.0
20250412,26578.0,-162.0
20250409,26150.0,160.0
20250408,26614.0,1354.0
20250407,24453.0,-77.0
20250406,25119.0,-131.0
20250405,25826.0,76.0
20250330,26137.0,807.0
20250329,25170.0,440.0
20250326,25120.0,250.0
20250325,25275.0,485.0
20250318,23501.0,-569.0
20250317,25084.0,274.0
20250316,25722.0,662.0
20250315,26279.0,1939.0
20250312,24862.0,1222.0
20250311,24544.0,664.0
20250310,25523.0,1023.0
20250309,25593.0,853.0
20250308,26382.0,882.0
20250305,27475.0,1415.0
20250304,27843.0,1373.0
20250303,27281.0,311.0
20250302,28952.0,1152.0
20250301,28283.0,1053.0
20250226,28034.0,1214.0
20250225,27963.0,1573.0
20250224,27503.0,1863.0
20250223,26583.0,1683.0
20250222,25625.0,1415.0
20250219,26280.0,1390.0
20250218,26305.0,1355.0
20250217,26364.0,1564.0
20250216,26417.0,1797.0
20250215,25910.0,530.0
20250211,27172.0,1012.0
20250416,28352.0,-178.0
20250415,27971.0,-129.0
20250414,28626.0,266.0
20250413,28690.0,1150.0
20250412,26645.0,-95.0
20250409,26219.0,229.0
20250408,26645.0,1385.0
