tau_bucket,regime,mean_spread,median_spread,mean_rel_spread,median_rel_spread,mean_OBI,median_OBI,mean_depth_bid,median_depth_bid,mean_depth_ask,median_depth_ask,n_snaps
0-1min,buy_queue,,,,,1.0,1.0,636.21968787515,110.0,0.0,0.0,833
0-1min,sell_queue,,,,,-1.0,-1.0,0.0,0.0,11052.737777777778,4387.0,450
1-5min,buy_queue,,,,,1.0,1.0,666.0458452722063,133.0,0.0,0.0,349
1-5min,sell_queue,,,,,-1.0,-1.0,0.0,0.0,12804.122807017544,4600.0,513
15-30min,buy_queue,,,,,1.0,1.0,920.787072243346,117.0,0.0,0.0,526
15-30min,sell_queue,,,,,-1.0,-1.0,0.0,0.0,12237.395555555555,3050.0,225
30-100000min,buy_queue,,,,,1.0,1.0,1138.5914050322867,157.0,0.0,0.0,4491
30-100000min,sell_queue,,,,,-1.0,-1.0,0.0,0.0,6846.905349794239,3758.0,243
5-15min,buy_queue,,,,,1.0,1.0,594.8949343339588,110.0,0.0,0.0,533
5-15min,sell_queue,,,,,-1.0,-1.0,0.0,0.0,11311.743243243243,3868.5,518
